Eingestellte_Leistung_dBm;Gemessene_Leistung_dBm
-120.0000;-119.9290
-119.0000;-119.3950
-118.0000;-118.7680
-117.0000;-117.6770
-116.0000;-116.7060
-115.0000;-115.7110
-114.0000;-114.6980
-113.0000;-113.5810
-112.0000;-112.6130
-111.0000;-111.6200
-110.0000;-110.7160
-109.0000;-108.9140
-108.0000;-107.8680
-107.0000;-107.0260
-106.0000;-106.0530
-105.0000;-105.0730
-104.0000;-104.1270
-103.0000;-103.1840
-102.0000;-102.2480
-101.0000;-101.2550
-100.0000;-100.3020
-99.0000;-99.5610
-98.0000;-98.5740
-97.0000;-97.7580
-96.0000;-96.6900
-95.0000;-95.6340
