Eingestellte_Leistung_dBm;Gemessene_Leistung_dBm
-95.0000;-95.5830
-94.0000;-94.5730
-93.0000;-93.8750
-92.0000;-92.6840
-91.0000;-91.8920
-90.0000;-91.0580
-89.0000;-89.9410
-88.0000;-88.8100
-87.0000;-87.9390
-86.0000;-86.8380
-85.0000;-85.8680
-84.0000;-85.0400
-83.0000;-84.1300
-82.0000;-82.8510
-81.0000;-81.9770
-80.0000;-80.9460
-79.0000;-80.0390
-78.0000;-79.0560
-77.0000;-78.0460
-76.0000;-77.0580
-75.0000;-76.0170
-74.0000;-75.0830
-73.0000;-74.0430
-72.0000;-73.0740
-71.0000;-72.0050
-70.0000;-71.0570
-69.0000;-70.0010
-68.0000;-69.0180
-67.0000;-67.9910
-66.0000;-67.0530
-65.0000;-65.9590
-64.0000;-65.0160
-63.0000;-64.0210
-62.0000;-63.0560
-61.0000;-61.9700
-60.0000;-61.0070
-59.0000;-60.0070
-58.0000;-59.0430
-57.0000;-58.0280
-56.0000;-57.0550
-55.0000;-55.9800
-54.0000;-55.0230
-53.0000;-54.0210
-52.0000;-53.0520
-51.0000;-51.9790
-50.0000;-51.0120
-49.0000;-50.0700
-48.0000;-49.1020
-47.0000;-48.0700
-46.0000;-47.1030
-45.0000;-46.0450
-44.0000;-45.0790
-43.0000;-44.0490
-42.0000;-43.0800
-41.0000;-42.0210
-40.0000;-41.0530
-39.0000;-40.0290
-38.0000;-39.0630
-37.0000;-38.0320
-36.0000;-37.0650
-35.0000;-36.0050
-34.0000;-35.0350
-33.0000;-34.0130
-32.0000;-33.0510
-31.0000;-31.9840
-30.0000;-31.0170
-29.0000;-30.0580
-28.0000;-29.0880
-27.0000;-28.0690
-26.0000;-27.0960
-25.0000;-26.0300
-24.0000;-25.0620
-23.0000;-24.0290
-22.0000;-23.0670
-21.0000;-21.9920
-20.0000;-21.0320
-19.0000;-20.0120
-18.0000;-19.0490
-17.0000;-18.0170
-16.0000;-17.0510
-15.0000;-15.9850
-14.0000;-15.0150
-13.0000;-13.9980
-12.0000;-13.0220
-11.0000;-11.9540
-10.0000;-10.9860
-9.0000;-10.0450
-8.0000;-9.0760
-7.0000;-8.0470
-6.0000;-7.0760
-5.0000;-6.0220
-4.0000;-5.0460
-3.0000;-4.0080
-2.0000;-3.0470
-1.0000;-1.9860
0.0000;-1.0160
