# Y-Factor Noise Figure Measurement Results
# SDR_TYPE: RTLSDR, ENR: 14.54 dB, Freq: 1000.0 MHz, SampRate: 2.0 MSps
SDR_Gain_dB,P_hot_dBm,P_cold_dBm,Y_Factor_dB,Noise_Figure_dB
0.0,-45.56579709,-45.56612182,0.00032473,55.80250872
10.0,-55.44152534,-55.46201289,0.02048755,37.79269570
20.0,-64.80346870,-65.18056655,0.37709785,24.96338946
30.0,-70.78829575,-73.49704647,2.70875072,15.16560904
40.0,-76.66722822,-81.48997784,4.82274961,11.45262199
50.0,-86.68138957,-91.52865863,4.84726906,11.41610900
60.0,-96.72420597,-101.51462221,4.79041624,11.50092625
70.0,-106.72580624,-109.70376348,2.97795725,14.60492809
