# Allan Deviation Measurement
# Start time: 2025-06-23 16:02:50
# SDR Type: RTLSDR, Gain: 40.0 dB, Freq: 1000.0 MHz, Samp Rate: 2.0 Msps
# Integration Time (s), Allan Deviation
0.1, 1.2843035459518433
0.15848931924611134, 1.2843035459518433
0.251188643150958, 1.8847849369049072
0.3981071705534973, 1.3226568698883057
0.6309573444801934, 1.3226568698883057
1.0, 0.679000198841095
1.584893192461114, 0.3500869870185852
2.511886431509581, 0.3500869870185852
3.981071705534973, 0.19104771316051483
6.309573444801933, 0.11247227340936661
10.0, 0.11247227340936661
