# Allan Deviation Measurement
# Start time: 2025-07-03 22:11:14
# SDR Type: RTLSDR, Gain: 10.0 dB, Freq: 1000.0 MHz, Samp Rate: 2.0 Msps
# Collected Data Points: 420184
# Integration Time (s), Allan Deviation
0.128, 0.00330145750194788
0.256, 0.002378871664404869
0.512, 0.0016693802317604423
1.024, 0.0011416581692174077
2.048, 0.0008584397728554904
4.096, 0.0006253268802538514
8.192, 0.0004266975447535515
16.384, 0.00029451216687448323
32.768, 0.00027370668249204755
65.536, 0.0003604487865231931
