# Y-Factor Noise Figure Measurement Results
# SDR_TYPE: PLUTOSDR, ENR: 14.54 dB, Freq: 1000.0 MHz, SampRate: 2.0 MSps
SDR_Gain_dB,P_hot_dBm,P_cold_dBm,Y_Factor_dB,Noise_Figure_dB
0.0,-80.63093509,-80.91241640,0.28148131,26.28184670
10.0,-85.31723913,-87.34763718,2.03039805,16.78735215
20.0,-87.58220603,-90.34640503,2.76419900,15.04698986
30.0,-88.79167071,-96.04357818,7.25190746,8.19404181
40.0,-90.97664874,-103.87859449,12.90194575,1.86659663
50.0,-91.27391885,-104.05027667,12.77635782,1.99907499
60.0,-91.18256170,-104.55481246,13.37225076,1.37227374
70.0,-90.98926706,-104.53058012,13.54131306,1.19522324
