Set_Power_dBm,Mean_Measured_Power,Std_Dev_Measured_Power
-120.00,-86.15893724,0.67444106
-119.00,-86.31711451,0.67804095
-118.00,-86.20423126,0.62139461
-117.00,-86.18038626,0.74826722
-116.00,-86.32201428,0.61559430
-115.00,-86.36369705,0.52960623
-114.00,-86.10698615,0.62322932
-113.00,-85.98284361,0.71023961
-112.00,-86.12973022,0.54208696
-111.00,-85.90533786,0.67690725
-110.00,-86.20469581,0.59748246
-109.00,-86.05129878,0.65677088
-108.00,-86.20458221,0.67949800
-107.00,-86.11639090,0.73815414
-106.00,-85.95105320,0.52152991
-105.00,-86.25831689,0.90600818
-104.00,-86.32281918,0.72904061
-103.00,-86.16123454,0.77137073
-102.00,-86.23967997,0.51669331
-101.00,-85.89251794,0.70407513
-100.00,-85.95735976,0.66058096
-99.00,-86.29449209,0.75586022
-98.00,-85.85957591,0.59569360
-97.00,-85.89239205,0.67374978
-96.00,-86.14083227,0.73761716
-95.00,-86.30761804,0.68377526
-94.00,-85.88270399,0.56068949
-93.00,-85.65864902,0.79869910
-92.00,-85.58394199,0.76145364
-91.00,-85.89494413,0.49410734
-90.00,-85.51703644,0.49826614
-89.00,-85.44215478,0.74069251
-88.00,-85.19929038,0.45855572
-87.00,-84.88769192,0.61824067
-86.00,-84.83895916,0.62403046
-85.00,-83.94662518,0.50269224
-84.00,-83.58325061,0.46135575
-83.00,-83.29594209,0.51158949
-82.00,-82.78323025,0.51221646
-81.00,-81.93371836,0.44641706
-80.00,-81.07843915,0.43385873
-79.00,-80.32872645,0.28290104
-78.00,-79.35509109,0.17538693
-77.00,-78.50349045,0.19514009
-76.00,-77.57852639,0.14552734
-75.00,-76.39582782,0.12012508
-74.00,-75.46019406,0.08161672
-73.00,-74.46585422,0.06731216
-72.00,-73.52078289,0.06966885
-71.00,-72.41721598,0.03594617
-70.00,-71.49628872,0.06399427
-69.00,-70.48722458,0.05585871
-68.00,-69.46663284,0.05565517
-67.00,-68.47131220,0.04589296
-66.00,-67.51426612,0.05016224
-65.00,-66.41597299,0.03465084
-64.00,-65.45658381,0.04186314
-63.00,-64.47945658,0.03686741
-62.00,-63.50384352,0.03510820
-61.00,-62.43134435,0.02178793
-60.00,-61.46833738,0.02450629
-59.00,-60.48113611,0.02299196
-58.00,-59.67073949,0.01421707
-57.00,-59.17588700,0.01986315
-56.00,-58.86927456,0.02218234
-55.00,-58.61462106,0.02961500
-54.00,-58.42378298,0.03101958
-53.00,-58.26829020,0.02773095
-52.00,-58.10427729,0.03469507
-51.00,-57.96860886,0.03182972
-50.00,-57.85505019,0.03295253
-49.00,-57.75518905,0.03180045
-48.00,-57.69271109,0.05080833
-47.00,-57.59410074,0.04426603
-46.00,-57.52382872,0.02813847
-45.00,-57.47765032,0.03152196
-44.00,-57.39865557,0.02733869
-43.00,-57.36335889,0.03306338
-42.00,-57.31933615,0.02831782
-41.00,-57.26920679,0.02658371
-40.00,-57.24683910,0.01972250
-39.00,-57.19332059,0.02250798
-38.00,-57.19530657,0.02433270
-37.00,-57.16127777,0.03096437
-36.00,-57.14117961,0.02098503
-35.00,-57.11003770,0.01453064
-34.00,-57.10555818,0.01614541
-33.00,-57.09270732,0.02050703
-32.00,-57.07106866,0.01566429
-31.00,-57.06534661,0.02068067
-30.00,-57.04757668,0.01424172
-29.00,-57.03637134,0.01281790
-28.00,-57.03189998,0.01590872
-27.00,-57.01801794,0.00761197
-26.00,-57.01131147,0.01076958
-25.00,-57.00446574,0.01346936
-24.00,-56.99707837,0.00754366
-23.00,-56.99289216,0.00899418
-22.00,-56.99352413,0.00755894
-21.00,-56.98609034,0.00558001
-20.00,-56.98235936,0.00585993
-19.00,-56.98246193,0.00767131
-18.00,-56.97911220,0.00663091
-17.00,-56.97575675,0.00741462
-16.00,-56.97219594,0.00692384
-15.00,-56.96984990,0.00565604
-14.00,-56.97022523,0.00561469
-13.00,-56.96933916,0.00434266
-12.00,-56.96690517,0.00579584
-11.00,-56.96713324,0.00488954
-10.00,-56.96331745,0.00463810
-9.00,-56.96358003,0.00417679
-8.00,-56.96206156,0.00297702
-7.00,-56.96153620,0.00366528
-6.00,-56.96151797,0.00373386
-5.00,-56.96102354,0.00465824
-4.00,-56.96253990,0.00341264
-3.00,-56.95959769,0.00353989
-2.00,-56.96053060,0.00331527
-1.00,-56.95970684,0.00409237
0.00,-56.95953706,0.00379278
