Set_Power_dBm,Mean_Measured_Power,Std_Dev_Measured_Power
-120.00,-57.93204795,0.35735401
-119.00,-57.89257572,0.38587175
-118.00,-57.88448379,0.32092864
-117.00,-58.05728128,0.29628172
-116.00,-58.05780326,0.48479080
-115.00,-58.26793671,0.36056933
-114.00,-58.13903978,0.39081081
-113.00,-58.14027680,0.38126779
-112.00,-58.03722636,0.42186986
-111.00,-58.13541179,0.27340298
-110.00,-58.16432594,0.43925836
-109.00,-58.08618736,0.39250233
-108.00,-58.09303008,0.34386279
-107.00,-58.04834620,0.43199041
-106.00,-58.10866441,0.32782273
-105.00,-58.16501088,0.41712631
-104.00,-58.01849132,0.33755254
-103.00,-58.11181323,0.36270951
-102.00,-58.14739397,0.31566993
-101.00,-58.34603394,0.58932348
-100.00,-58.09988156,0.42209035
-99.00,-58.10664389,0.49723216
-98.00,-58.16758516,0.38229046
-97.00,-58.09798643,0.24966462
-96.00,-58.18083254,0.31427331
-95.00,-58.44765260,0.46247734
-94.00,-58.19365862,0.36522052
-93.00,-58.08997154,0.49813286
-92.00,-58.03808700,0.30029659
-91.00,-58.07156181,0.48148598
-90.00,-57.92422697,0.34631278
-89.00,-58.08341514,0.29957083
-88.00,-58.05636533,0.36433761
-87.00,-57.95602968,0.31663700
-86.00,-58.02512678,0.40479633
-85.00,-58.05861417,0.49399647
-84.00,-58.06454356,0.33714433
-83.00,-57.91739464,0.39331434
-82.00,-57.91336060,0.36823858
-81.00,-58.00020921,0.25382946
-80.00,-58.20842637,0.33933412
-79.00,-58.02969699,0.36061200
-78.00,-58.05661837,0.32854597
-77.00,-58.02741792,0.50925847
-76.00,-58.24725850,0.38366322
-75.00,-58.48356734,0.37468385
-74.00,-58.16183561,0.43410843
-73.00,-58.48981010,0.42011030
-72.00,-58.86129337,0.70688379
-71.00,-58.78231578,0.84659016
-70.00,-58.76411438,0.55055553
-69.00,-59.26607828,0.78315236
-68.00,-59.25288518,0.90484936
-67.00,-60.14334191,0.72300757
-66.00,-60.21405623,0.54571856
-65.00,-61.49003114,1.02698233
-64.00,-62.75092764,1.38134477
-63.00,-63.94157770,1.52676788
-62.00,-66.49782223,1.82026084
-61.00,-70.35461511,1.94105067
-60.00,-73.94839478,2.91976717
-59.00,-78.31234784,3.47918708
-58.00,-82.42962604,2.25454986
-57.00,-83.09658390,2.67535357
-56.00,-81.85660256,3.32882704
-55.00,-74.69713508,2.43064141
-54.00,-69.09598160,1.54055533
-53.00,-60.56647343,1.58205083
-52.00,-55.70628230,0.70182597
-51.00,-52.58312899,0.28800484
-50.00,-51.37553808,0.14424690
-49.00,-50.47404904,0.11546004
-48.00,-49.46059036,0.11055622
-47.00,-48.43876738,0.08475320
-46.00,-47.49579324,0.06880095
-45.00,-46.42746268,0.05520719
-44.00,-45.46370633,0.05885370
-43.00,-44.44840016,0.04722008
-42.00,-43.45599280,0.03634198
-41.00,-42.40945541,0.04840542
-40.00,-41.45210711,0.03520306
-39.00,-40.42138290,0.03722553
-38.00,-39.45329009,0.02816837
-37.00,-38.42678324,0.01934529
-36.00,-37.45673561,0.02100990
-35.00,-36.44456270,0.02363976
-34.00,-35.48430951,0.02179793
-33.00,-34.43516117,0.02220020
-32.00,-33.46836789,0.01674207
-31.00,-32.43950060,0.01561664
-30.00,-31.47356097,0.01589626
-29.00,-30.47744327,0.01260640
-28.00,-29.52102269,0.01156588
-27.00,-28.50828298,0.01039130
-26.00,-27.54087173,0.01115217
-25.00,-26.45471064,0.00828943
-24.00,-25.48836168,0.00800007
-23.00,-24.47964287,0.00645240
-22.00,-23.51151699,0.00427434
-21.00,-22.43448374,0.00754100
-20.00,-21.47055615,0.00477411
-19.00,-20.47248395,0.00602375
-18.00,-19.63402918,0.00645241
-17.00,-19.16811307,0.01589941
-16.00,-18.86239097,0.02705301
-15.00,-18.61279244,0.02989593
-14.00,-18.42634720,0.03689978
-13.00,-18.25604502,0.04327707
-12.00,-18.11656793,0.03565979
-11.00,-17.98249345,0.03314469
-10.00,-17.86827151,0.02948214
-9.00,-17.77766652,0.03957947
-8.00,-17.67179987,0.04353563
-7.00,-17.57398383,0.01916122
-6.00,-17.51205582,0.03858106
-5.00,-17.46361891,0.02843849
-4.00,-17.41064453,0.02779097
-3.00,-17.34498225,0.03272649
-2.00,-17.29283985,0.02626955
-1.00,-17.26553588,0.02894598
0.00,-17.22160414,0.02516736
