timestamp,measured_power_dBm,standard_deviation
4.0,-85.471073,0.001835
8.1,-85.469140,0.001843
12.1,-85.459650,0.001858
16.1,-85.464593,0.003537
20.1,-85.465170,0.001295
24.1,-85.459854,0.003152
28.2,-85.456684,0.002662
32.2,-85.463524,0.006576
36.2,-85.465701,0.002150
40.2,-85.460719,0.004371
44.2,-85.460737,0.003455
48.2,-85.465327,0.003293
52.3,-85.465014,0.003919
56.3,-85.461924,0.002013
60.3,-85.459445,0.004146
64.3,-85.465850,0.003295
68.4,-85.465636,0.001263
72.4,-85.459100,0.001884
76.4,-85.459368,0.001078
80.4,-85.461133,0.003849
84.5,-85.466414,0.001479
88.5,-85.462015,0.003201
92.5,-85.459399,0.001542
96.5,-85.460522,0.001736
100.5,-85.462963,0.001953
104.6,-85.467676,0.001799
108.6,-85.463316,0.002258
112.6,-85.466269,0.001197
116.6,-85.460408,0.001256
120.7,-85.459777,0.001164
124.7,-85.461395,0.003085
128.7,-85.467117,0.001439
132.8,-85.467669,0.002210
136.8,-85.464778,0.003571
140.8,-85.459194,0.003743
144.8,-85.459980,0.002426
148.9,-85.466295,0.004170
152.9,-85.469731,0.002483
156.9,-85.462065,0.004340
161.0,-85.469972,0.001883
165.0,-85.463768,0.004755
169.0,-85.471540,0.000832
173.1,-85.465768,0.005018
177.1,-85.457895,0.000754
181.1,-85.460444,0.001293
185.2,-85.466750,0.003766
189.2,-85.469965,0.002574
193.2,-85.462703,0.002827
197.3,-85.461197,0.001649
201.3,-85.460424,0.002959
205.3,-85.466109,0.001772
209.4,-85.463335,0.002341
213.4,-85.453006,0.004585
217.5,-85.461253,0.003278
221.5,-85.460858,0.003331
225.5,-85.466203,0.001975
229.6,-85.461081,0.003893
233.6,-85.460746,0.003399
237.6,-85.465138,0.001120
241.6,-85.465535,0.002582
245.6,-85.461107,0.003058
249.7,-85.463497,0.006462
253.7,-85.454577,0.005940
257.7,-85.461938,0.000672
261.7,-85.463538,0.002247
265.7,-85.469358,0.002338
269.8,-85.463154,0.003309
273.8,-85.460310,0.002820
277.8,-85.457965,0.003903
281.8,-85.464375,0.001978
285.9,-85.462239,0.003165
289.9,-85.458043,0.001934
293.9,-85.463621,0.002155
298.0,-85.466251,0.004720
302.0,-85.464951,0.004085
306.0,-85.460614,0.003210
310.0,-85.456437,0.003225
314.1,-85.460936,0.001790
318.1,-85.465868,0.003230
322.1,-85.463968,0.004760
326.1,-85.459716,0.002661
330.2,-85.458580,0.001691
334.2,-85.464594,0.002739
338.2,-85.463922,0.002186
342.3,-85.461529,0.003186
346.3,-85.457416,0.003718
350.3,-85.462658,0.003431
354.4,-85.464409,0.002790
358.4,-85.459440,0.001813
362.4,-85.458784,0.002793
366.5,-85.462669,0.002812
370.5,-85.464628,0.002281
374.6,-85.460050,0.002732
378.6,-85.458653,0.002418
382.6,-85.463692,0.001154
386.6,-85.465364,0.003259
390.6,-85.466942,0.001613
394.7,-85.465395,0.002860
398.7,-85.458878,0.001965
402.7,-85.459086,0.002025
406.8,-85.463606,0.002807
410.8,-85.466920,0.002618
414.8,-85.462943,0.003762
418.8,-85.457932,0.002871
422.9,-85.458746,0.002469
426.9,-85.463346,0.001979
430.9,-85.465608,0.002337
435.0,-85.464709,0.001753
439.0,-85.461799,0.002139
443.0,-85.456489,0.002916
447.1,-85.459886,0.001634
451.1,-85.464922,0.002514
455.1,-85.467473,0.003048
459.1,-85.463397,0.001948
463.2,-85.459928,0.002878
467.2,-85.459289,0.001612
471.2,-85.463960,0.001496
475.3,-85.465063,0.002891
479.3,-85.461268,0.002167
483.4,-85.458955,0.001055
487.4,-85.462461,0.002260
491.5,-85.465459,0.002974
495.5,-85.460370,0.003229
499.5,-85.459610,0.001366
503.6,-85.463883,0.003271
507.6,-85.464869,0.002223
511.6,-85.463784,0.001297
515.6,-85.458226,0.002070
519.7,-85.460671,0.002789
523.7,-85.464275,0.002615
527.7,-85.460970,0.002901
531.8,-85.459077,0.001379
535.8,-85.460689,0.001790
539.8,-85.465157,0.001395
543.9,-85.463924,0.002856
547.9,-85.459495,0.002960
551.9,-85.459608,0.001387
555.9,-85.463676,0.002516
560.0,-85.465042,0.003009
564.0,-85.458744,0.001932
568.0,-85.459650,0.002415
572.0,-85.465464,0.002223
576.0,-85.463282,0.001752
580.0,-85.460442,0.003518
584.1,-85.459792,0.005053
588.1,-85.466143,0.001035
592.2,-85.463401,0.002444
596.2,-85.457580,0.002348
600.2,-85.460832,0.002330
604.2,-85.463724,0.002061
