timestamp,measured_power_dBm,standard_deviation
4.0,-55.857104,0.002097
8.1,-55.857497,0.002443
12.1,-55.857128,0.002040
16.1,-55.857212,0.001354
20.2,-55.792554,0.050926
24.2,-55.803240,0.023646
28.2,-55.847634,0.019177
32.3,-55.863679,0.001703
36.4,-55.859802,0.002152
40.5,-55.857732,0.001863
44.5,-55.858069,0.001569
48.5,-55.856975,0.001657
52.6,-55.858930,0.003155
56.6,-55.858179,0.002627
60.6,-55.860964,0.003772
64.7,-55.858734,0.002563
68.7,-55.858364,0.004014
72.7,-55.860736,0.002400
76.7,-55.856916,0.002352
80.8,-55.858542,0.003561
84.8,-55.858802,0.001444
88.8,-55.858362,0.001761
92.8,-55.859249,0.001595
96.9,-55.859189,0.001643
100.9,-55.859820,0.001327
104.9,-55.859384,0.002185
109.0,-55.858427,0.002388
113.0,-55.858170,0.001505
117.1,-55.858698,0.001812
121.1,-55.859820,0.001714
125.1,-55.860197,0.002571
129.1,-55.859390,0.001962
133.2,-55.858702,0.001772
137.2,-55.856788,0.002616
141.2,-55.858869,0.002283
145.3,-55.855758,0.000952
149.3,-55.858260,0.003320
153.3,-55.857970,0.002548
157.3,-55.858538,0.001710
161.4,-55.858821,0.001169
165.4,-55.860727,0.001734
169.5,-55.859292,0.001409
173.5,-55.859597,0.001483
177.5,-55.860135,0.004056
181.6,-55.858256,0.001723
185.6,-55.864427,0.003713
189.7,-55.859491,0.001231
193.7,-55.861561,0.001115
197.7,-55.859509,0.001488
201.8,-55.860657,0.001487
205.8,-55.860808,0.002177
209.8,-55.859569,0.001339
213.8,-55.858732,0.001105
217.9,-55.859138,0.001369
221.9,-55.858002,0.001491
226.0,-55.860181,0.001597
230.0,-55.860823,0.001566
234.0,-55.858120,0.002463
238.0,-55.856267,0.001271
242.0,-55.859428,0.000916
246.0,-55.856406,0.000853
250.1,-55.857993,0.002086
254.1,-55.860501,0.001386
258.2,-55.865074,0.004368
262.2,-55.860277,0.001550
