timestamp,measured_power_dBm,standard_deviation
4.0,-1.894716,0.000315
8.1,-1.894077,0.000188
12.1,-1.892862,0.000795
16.1,-1.897548,0.002067
20.1,-1.892077,0.003582
24.1,-1.913900,0.007618
28.2,-1.934821,0.008110
32.2,-1.961810,0.006051
36.2,-1.967732,0.000822
40.2,-1.967032,0.000787
44.3,-1.965396,0.000733
48.3,-1.964234,0.000862
52.4,-1.963475,0.000697
56.4,-1.963389,0.000572
60.4,-1.964762,0.000680
64.4,-1.966491,0.000797
68.4,-1.966974,0.001007
72.4,-1.966346,0.000915
76.5,-1.966187,0.000739
80.5,-1.966314,0.000924
84.5,-1.967123,0.000719
88.5,-1.966968,0.000867
92.5,-1.964272,0.000834
96.5,-1.962876,0.000751
100.6,-1.963514,0.001045
104.6,-1.964756,0.000835
108.6,-1.966521,0.000876
112.6,-1.967325,0.000629
116.6,-1.967513,0.000848
120.7,-1.966460,0.000641
124.7,-1.966566,0.000585
128.7,-1.967124,0.000806
132.7,-1.966507,0.000690
136.8,-1.967164,0.000871
140.8,-1.967308,0.000815
144.8,-1.968963,0.000819
148.8,-1.968685,0.000871
152.9,-1.967906,0.000797
156.9,-1.966318,0.000842
160.9,-1.966137,0.000941
164.9,-1.968924,0.001171
169.0,-1.970812,0.000990
173.0,-1.970833,0.000873
177.0,-1.969353,0.000729
181.0,-1.969019,0.000438
185.1,-1.968275,0.000911
189.1,-1.968875,0.000771
193.1,-1.969646,0.000777
197.1,-1.970992,0.000917
201.1,-1.970966,0.000854
205.2,-1.970505,0.000749
209.2,-1.969247,0.000895
213.2,-1.968797,0.000781
217.2,-1.968869,0.000850
221.3,-1.968991,0.000733
225.3,-1.969224,0.000968
229.3,-1.969339,0.000752
233.3,-1.970398,0.000586
237.3,-1.971346,0.000827
241.3,-1.970933,0.000892
245.4,-1.970593,0.000526
249.4,-1.971859,0.000966
253.4,-1.972777,0.000778
257.4,-1.972840,0.000759
261.4,-1.972755,0.000641
265.4,-1.973234,0.000846
269.5,-1.971615,0.000925
273.5,-1.970518,0.000897
277.5,-1.969813,0.000694
281.5,-1.970208,0.000918
285.5,-1.971674,0.000749
289.6,-1.972397,0.000485
293.6,-1.972584,0.000965
297.6,-1.971295,0.000695
301.6,-1.970485,0.001048
305.6,-1.969081,0.000714
309.6,-1.970190,0.000450
313.7,-1.971526,0.000683
317.7,-1.971255,0.000800
321.7,-1.971426,0.000693
325.7,-1.972481,0.000507
329.7,-1.972445,0.000565
333.8,-1.971856,0.000654
337.8,-1.971994,0.000687
341.8,-1.972066,0.000560
345.8,-1.972819,0.000616
349.8,-1.974071,0.000556
353.8,-1.974308,0.000587
357.8,-1.973820,0.000922
361.9,-1.973176,0.000502
365.9,-1.972348,0.000674
369.9,-1.972595,0.000390
373.9,-1.973067,0.000856
377.9,-1.973353,0.000698
382.0,-1.974048,0.000542
386.0,-1.974413,0.000833
390.0,-1.973044,0.000990
394.0,-1.972278,0.000706
398.1,-1.972127,0.000547
402.1,-1.972363,0.000744
406.1,-1.973770,0.000894
410.1,-1.976859,0.000849
414.1,-1.977287,0.000510
418.1,-1.976054,0.000797
422.2,-1.975057,0.000555
426.2,-1.974310,0.000792
430.2,-1.974395,0.000683
434.2,-1.973121,0.000682
438.2,-1.973982,0.000805
442.3,-1.975267,0.000619
446.3,-1.975571,0.000965
450.3,-1.974423,0.000970
454.3,-1.974591,0.000636
458.3,-1.974274,0.000733
462.3,-1.975182,0.000525
466.4,-1.974716,0.000656
470.4,-1.974703,0.000584
474.4,-1.973582,0.000764
478.4,-1.972593,0.000747
482.4,-1.971830,0.000799
486.5,-1.973265,0.001154
490.5,-1.975174,0.000817
494.5,-1.976270,0.000681
498.5,-1.976319,0.000916
502.6,-1.974877,0.000921
506.6,-1.973342,0.000827
510.6,-1.973177,0.000955
514.6,-1.973799,0.000689
518.6,-1.972889,0.000968
522.6,-1.972996,0.000563
526.7,-1.972988,0.000597
530.7,-1.972965,0.000810
534.7,-1.972682,0.000605
538.7,-1.973867,0.000813
542.7,-1.974675,0.000985
546.7,-1.975724,0.000836
550.8,-1.974343,0.000857
554.8,-1.973954,0.000772
558.8,-1.976438,0.001026
562.8,-1.977498,0.000658
566.8,-1.975905,0.000887
570.9,-1.974228,0.000647
574.9,-1.973726,0.000746
578.9,-1.974532,0.000906
582.9,-1.974888,0.000788
586.9,-1.974848,0.000798
590.9,-1.974218,0.000831
595.0,-1.973659,0.000837
599.0,-1.974570,0.000826
603.0,-1.975211,0.000716
607.0,-1.973787,0.000765
611.0,-1.973712,0.000842
615.1,-1.974858,0.000763
619.1,-1.976374,0.000569
623.1,-1.976304,0.000667
627.1,-1.976732,0.000926
631.1,-1.975567,0.000649
635.1,-1.974472,0.000933
639.2,-1.974209,0.000496
643.2,-1.975442,0.000929
647.2,-1.976616,0.000569
651.2,-1.976717,0.000596
655.2,-1.975838,0.000621
659.2,-1.976724,0.000815
663.3,-1.976440,0.000952
667.3,-1.975568,0.000678
671.3,-1.974698,0.000723
675.3,-1.976036,0.000803
679.3,-1.976878,0.000734
683.3,-1.975500,0.000761
687.4,-1.975082,0.000569
691.4,-1.976284,0.000537
695.4,-1.976428,0.000583
699.4,-1.976755,0.000509
703.4,-1.977083,0.000846
707.5,-1.978992,0.000843
