timestamp,measured_power_dBm,standard_deviation
4.0,-31.786519,0.001665
8.1,-31.786513,0.004828
12.1,-31.789036,0.002397
16.1,-31.788510,0.001457
20.1,-31.791571,0.002380
24.2,-31.792042,0.002906
28.2,-31.789797,0.003443
32.2,-31.791370,0.002339
36.2,-31.791189,0.002416
40.2,-31.791530,0.003504
44.2,-31.795078,0.003966
48.3,-31.796411,0.004733
52.3,-31.796111,0.003310
56.3,-31.794941,0.002337
60.3,-31.796137,0.003007
64.3,-31.798298,0.001017
68.4,-31.797557,0.001095
72.4,-31.795721,0.001056
76.4,-31.798502,0.001129
80.4,-31.803073,0.003325
84.5,-31.801892,0.002717
88.5,-31.802897,0.002106
92.5,-31.800369,0.001045
96.6,-31.799274,0.001589
100.6,-31.800989,0.001333
104.6,-31.801812,0.004350
108.7,-31.805516,0.002794
112.7,-31.801173,0.001971
116.8,-31.803315,0.004200
120.8,-31.802404,0.002869
124.8,-31.808123,0.002087
128.8,-31.806149,0.002193
132.8,-31.806466,0.002120
136.9,-31.814678,0.004334
140.9,-31.809719,0.003054
144.9,-31.815691,0.001818
149.0,-31.813796,0.003268
153.0,-31.817012,0.004366
157.0,-31.818328,0.005035
161.0,-31.819778,0.003527
165.0,-31.816695,0.001599
169.1,-31.822413,0.003543
173.1,-31.823254,0.003684
177.1,-31.825040,0.002947
181.1,-31.825338,0.005780
185.2,-31.824855,0.004231
189.2,-31.834067,0.005381
193.2,-31.831984,0.006224
197.3,-31.841499,0.003140
201.3,-31.840259,0.003679
205.3,-31.843540,0.003467
209.3,-31.841176,0.003292
213.3,-31.848435,0.003874
217.3,-31.848782,0.003693
221.4,-31.851359,0.004944
225.4,-31.848735,0.004190
229.4,-31.852265,0.009909
233.4,-31.847801,0.002862
237.4,-31.857195,0.002507
241.5,-31.858898,0.006424
245.5,-31.853850,0.003341
249.5,-31.861139,0.003638
253.5,-31.863164,0.003879
257.5,-31.860442,0.003151
261.5,-31.861820,0.007277
265.6,-31.861587,0.004222
269.6,-31.863400,0.004693
273.6,-31.872756,0.005193
277.6,-31.868636,0.003149
281.6,-31.875833,0.002813
285.7,-31.874410,0.005789
289.7,-31.874001,0.003651
293.7,-31.876241,0.007465
297.7,-31.888788,0.003478
301.7,-31.882597,0.003354
305.7,-31.886716,0.004101
309.8,-31.888282,0.003486
313.8,-31.889303,0.004909
317.8,-31.890996,0.006985
321.9,-31.893285,0.006444
325.9,-31.895687,0.002426
329.9,-31.889771,0.004801
333.9,-31.896005,0.002492
337.9,-31.895326,0.003985
342.0,-31.897909,0.003940
346.0,-31.898064,0.004191
350.0,-31.897988,0.005076
354.0,-31.895933,0.003668
358.1,-31.906535,0.003188
362.1,-31.910149,0.001862
366.1,-31.909069,0.002702
370.1,-31.906308,0.003915
374.1,-31.911291,0.004471
378.1,-31.909090,0.004728
382.2,-31.913531,0.005253
386.2,-31.912243,0.002335
390.2,-31.914811,0.003282
394.2,-31.914592,0.004477
398.2,-31.909815,0.003815
