Set_Power_dBm,Mean_Measured_Power,Std_Dev_Measured_Power
-120.00,-111.65284899,0.58646534
-119.00,-111.35633208,0.35472260
-118.00,-111.50869349,0.46783126
-117.00,-111.53937954,0.51878956
-116.00,-111.48905860,0.58485811
-115.00,-111.49675708,0.63602557
-114.00,-111.38186730,0.46913816
-113.00,-111.48729367,0.46718592
-112.00,-111.45701599,0.56668309
-111.00,-111.42656538,0.41975177
-110.00,-111.12610838,0.46497290
-109.00,-111.28163232,0.49862374
-108.00,-111.20773837,0.50531259
-107.00,-111.35695775,0.43221268
-106.00,-111.18137148,0.41110416
-105.00,-111.09907956,0.41819233
-104.00,-111.16365306,0.34244098
-103.00,-111.30196336,0.38989681
-102.00,-111.24078115,0.45879805
-101.00,-111.19916280,0.60108464
-100.00,-111.18370226,0.48408387
-99.00,-111.09429932,0.63338654
-98.00,-111.07805379,0.59332765
-97.00,-111.08956628,0.43020664
-96.00,-110.78999498,0.42550948
-95.00,-110.71762848,0.43635903
-94.00,-110.70429738,0.52309451
-93.00,-110.67882750,0.52626895
-92.00,-110.35697132,0.47404909
-91.00,-110.07946014,0.43781442
-90.00,-109.93560028,0.51488242
-89.00,-109.33897527,0.37676104
-88.00,-109.18057081,0.58873994
-87.00,-108.79222404,0.52637224
-86.00,-108.45071877,0.52477717
-85.00,-107.82438236,0.52420896
-84.00,-106.89077504,0.45750889
-83.00,-106.25555038,0.62611065
-82.00,-105.50140550,0.35851350
-81.00,-104.35045030,0.31280218
-80.00,-103.53338665,0.31831476
-79.00,-102.71084849,0.28054774
-78.00,-101.64408705,0.20004077
-77.00,-100.72600174,0.26563486
-76.00,-99.61710442,0.17672912
-75.00,-98.53592597,0.18567717
-74.00,-97.59414334,0.16480202
-73.00,-96.68252523,0.16852118
-72.00,-95.74664222,0.16160706
-71.00,-94.53087023,0.12123096
-70.00,-93.55674956,0.11731552
-69.00,-92.52603277,0.07753032
-68.00,-91.57317522,0.09840244
-67.00,-90.55069817,0.07955212
-66.00,-89.57119242,0.06429202
-65.00,-88.54749637,0.04173045
-64.00,-87.59269313,0.06046411
-63.00,-86.55293274,0.03858919
-62.00,-85.59737778,0.03904938
-61.00,-84.57383558,0.02408225
-60.00,-83.61004719,0.03389826
-59.00,-82.54980003,0.02478209
-58.00,-81.56671397,0.02644913
-57.00,-80.56631300,0.02132038
-56.00,-79.59793303,0.02132539
-55.00,-78.58185874,0.01512925
-54.00,-77.61732822,0.00939894
-53.00,-76.55866284,0.01382463
-52.00,-75.59631051,0.01328817
-51.00,-74.57622062,0.01164569
-50.00,-73.61618423,0.00977551
-49.00,-72.56912062,0.01189923
-48.00,-71.59977722,0.01146649
-47.00,-70.54561256,0.00871486
-46.00,-69.58252080,0.00882778
-45.00,-68.40759065,0.00482259
-44.00,-67.44689178,0.00735772
-43.00,-66.52591112,0.00419670
-42.00,-65.56108687,0.00393489
-41.00,-64.39320119,0.00497572
-40.00,-63.42277527,0.00450756
-39.00,-62.48701180,0.00339717
-38.00,-61.52020751,0.00335255
-37.00,-60.43421375,0.00323812
-36.00,-59.46928533,0.00202960
-35.00,-58.41694811,0.00312311
-34.00,-57.45137088,0.00201118
-33.00,-56.41763793,0.00182158
-32.00,-55.45150863,0.00198298
-31.00,-54.40249275,0.00184903
-30.00,-53.43700854,0.00257468
-29.00,-52.61618890,0.00225562
-28.00,-51.64967301,0.00204982
-27.00,-50.62780062,0.00250463
-26.00,-49.66021368,0.00173465
-25.00,-48.64824020,0.00112700
-24.00,-47.68383577,0.00192320
-23.00,-46.60144552,0.00206185
-22.00,-45.63809797,0.00176089
-21.00,-44.63020664,0.00201135
-20.00,-43.66758219,0.00193347
-19.00,-42.52718269,0.19390997
-18.00,-41.45782026,0.07191342
-17.00,-40.63165538,0.00242525
-16.00,-39.92841212,0.12026940
-15.00,-39.56582091,0.08605592
-14.00,-39.32217153,0.09546232
-13.00,-39.10849720,0.11071831
-12.00,-39.01918009,0.10667788
-11.00,-38.77251561,0.09830514
-10.00,-38.64290418,0.10913796
-9.00,-38.52563879,0.06721677
-8.00,-38.45095740,0.08020333
-7.00,-38.37122486,0.08897681
-6.00,-38.28436682,0.07736786
-5.00,-38.26223173,0.07337051
-4.00,-38.18506401,0.05445996
-3.00,-38.17617999,0.07855714
-2.00,-38.13944859,0.03984357
-1.00,-38.14777374,0.06266190
0.00,-38.14288921,0.07009823
