Set_Power_dBm,Mean_Measured_Power,Std_Dev_Measured_Power
-120.00,-113.64484566,0.25689899
-119.00,-113.64523637,0.25072385
-118.00,-113.72512563,0.37247869
-117.00,-113.71277739,0.24195462
-116.00,-113.81011963,0.28742049
-115.00,-113.71290669,0.34509287
-114.00,-113.81829914,0.22535471
-113.00,-113.78847022,0.25883656
-112.00,-113.77101135,0.22799513
-111.00,-113.71779463,0.12884285
-110.00,-113.87247387,0.33259085
-109.00,-113.76632521,0.26146910
-108.00,-113.62692218,0.26909714
-107.00,-113.88792886,0.30248973
-106.00,-113.72430123,0.34858347
-105.00,-113.66680527,0.20209632
-104.00,-113.67402098,0.30228293
-103.00,-113.70357323,0.35224728
-102.00,-113.51229901,0.21302121
-101.00,-113.47350914,0.15907659
-100.00,-113.53468450,0.31470786
-99.00,-113.42553202,0.24597156
-98.00,-113.36119642,0.30510817
-97.00,-113.39695659,0.21624054
-96.00,-113.17306679,0.32362468
-95.00,-113.05218948,0.36654457
-94.00,-112.72793452,0.38811621
-93.00,-112.60442200,0.33831909
-92.00,-112.26267403,0.38411538
-91.00,-111.95096164,0.30119893
-90.00,-111.44368786,0.39293700
-89.00,-110.97808597,0.43763768
-88.00,-110.53160256,0.33508634
-87.00,-110.06217109,0.36464546
-86.00,-109.19753096,0.48732836
-85.00,-108.41854477,0.43594873
-84.00,-107.45852025,0.40889227
-83.00,-106.50069724,0.33106946
-82.00,-105.59420736,0.34738118
-81.00,-104.49624433,0.30919136
-80.00,-103.53557265,0.23456870
-79.00,-102.65941981,0.23945214
-78.00,-101.67108621,0.14264688
-77.00,-100.76900694,0.18085365
-76.00,-99.79348795,0.16843946
-75.00,-98.62719365,0.17999473
-74.00,-97.60348190,0.09402607
-73.00,-96.75939540,0.09671366
-72.00,-95.77102958,0.09698558
-71.00,-94.61930084,0.06891077
-70.00,-93.63084010,0.07469320
-69.00,-92.60262850,0.05728564
-68.00,-91.64854873,0.07970988
-67.00,-90.65252728,0.04764758
-66.00,-89.64973323,0.06046195
-65.00,-88.63026894,0.04538319
-64.00,-87.68149888,0.04862207
-63.00,-86.63941023,0.03756504
-62.00,-85.66258240,0.02980605
-61.00,-84.65466750,0.02842238
-60.00,-83.67787612,0.02399522
-59.00,-82.63523441,0.01676326
-58.00,-81.67372091,0.01938468
-57.00,-80.64653617,0.02045526
-56.00,-79.67718948,0.01479056
-55.00,-78.66724717,0.01723838
-54.00,-77.70316230,0.00942566
-53.00,-76.64052836,0.01260887
-52.00,-75.67808372,0.00981104
-51.00,-74.66303775,0.01249883
-50.00,-73.69472588,0.00890302
-49.00,-72.64654965,0.00854899
-48.00,-71.67824809,0.00509751
-47.00,-70.62418408,0.00564140
-46.00,-69.65786422,0.00698573
-45.00,-68.48824431,0.00434469
-44.00,-67.52138519,0.00318440
-43.00,-66.60219320,0.00286735
-42.00,-65.63851688,0.00473882
-41.00,-64.47020039,0.00343647
-40.00,-63.50363741,0.00377017
-39.00,-62.56799401,0.00401921
-38.00,-61.60086100,0.00232009
-37.00,-60.51151838,0.00279956
-36.00,-59.54603878,0.00230831
-35.00,-58.49828275,0.00229267
-34.00,-57.53268754,0.00224620
-33.00,-56.49979923,0.00212444
-32.00,-55.53334387,0.00165825
-31.00,-54.48546473,0.00167564
-30.00,-53.52046034,0.00213542
-29.00,-52.95695094,0.09085536
-28.00,-51.58669422,0.05411004
-27.00,-50.71681474,0.00279501
-26.00,-50.03888602,0.16948591
-25.00,-49.57279065,0.10391455
-24.00,-49.35748472,0.10690079
-23.00,-49.11441341,0.11245249
-22.00,-48.97411707,0.16533048
-21.00,-48.74139510,0.11633707
-20.00,-48.59384677,0.08843867
-19.00,-48.46812672,0.07859449
-18.00,-48.40146446,0.07480591
-17.00,-48.34044206,0.09146227
-16.00,-48.25181876,0.05779943
-15.00,-48.23075210,0.07943075
-14.00,-48.17492506,0.05827872
-13.00,-48.15311856,0.07709831
-12.00,-48.11920708,0.06975752
-11.00,-48.10402128,0.08539789
-10.00,-48.12886770,0.05617200
-9.00,-48.06778155,0.08089894
-8.00,-48.07813115,0.04071691
-7.00,-48.06955973,0.07799386
-6.00,-48.03165669,0.08649620
-5.00,-47.97023874,0.08693006
-4.00,-47.95428146,0.14907278
-3.00,-47.93474536,0.11504059
-2.00,-47.94108200,0.14012933
-1.00,-47.90497529,0.09551842
0.00,-47.91434941,0.12699580
