gain	linear_input_power_start	linear_input_power_end	linear_measured_power_start	linear_measured_power_end	r_squared	slope	offset	final_offset
0.0	-57.898790277876834	-1.218532403451617	-75.05361938	-20.96008144	0.9991999629068498	0.9877098883944326	-20.15041164560646	-20.15041164560646
10.0	-62.870742723001854	-1.218532403451617	-71.54517873	-12.84595066	0.9991193029150476	0.9891625002504796	-11.982902855639775	-21.982902855639775
20.0	-72.81464761325189	-1.218532403451617	-71.31351174	-3.2986170500000007	0.999005664989354	0.9891318222404413	-2.496118082322674	-22.496118082322674
30.0	-79.77538103642692	-4.201703870526629	-68.40847524	0.9360245599999999	0.9990450821167622	0.9860197113272121	7.303744680586	-22.696255319414
40.0	-90.71367641570197	-14.145608760776666	-69.93560028	0.8915027999999978	0.999149680494681	0.9877526644063213	16.83330426155836	-23.16669573844164
50.0	-92.70245739375197	-24.089513651026706	-62.26267403	0.8855865900000026	0.9990360549091483	0.9856619360488992	26.530336436053194	-23.469663563946806
60.0	-94.69123837180197	-34.033418541276745	-55.30348549	0.8899803199999994	0.9991214637560897	0.985849538300017	36.0463967806966	-23.953603219303403
70.0	-95.68562886082698	-43.977323431526784	-46.9837273	0.6836873099999963	0.9990599986526076	0.9835081683946841	45.38573764516312	-24.61426235483688
