Set_Power_dBm,Mean_Measured_Power,Std_Dev_Measured_Power
-120.00,-232.53027259,8.43806646
-119.00,-233.72171868,8.20475794
-118.00,-233.50483873,5.40175720
-117.00,-235.14842563,9.12228100
-116.00,-234.13769616,7.89901388
-115.00,-233.00509898,7.26547123
-114.00,-234.04539759,7.37762196
-113.00,-231.99078728,9.51486910
-112.00,-236.33018155,6.01696944
-111.00,-236.42323218,8.84773855
-110.00,-230.92415449,9.85768577
-109.00,-233.10350630,7.71757962
-108.00,-236.37927839,6.36479055
-107.00,-231.42831959,9.13589179
-106.00,-236.55229187,6.42355409
-105.00,-236.45866140,6.91656224
-104.00,-231.91937595,9.28370962
-103.00,-232.77214589,9.15027671
-102.00,-230.86819278,10.53070775
-101.00,-237.40626102,8.34141022
-100.00,-238.10252465,8.82156627
-99.00,-234.99390007,7.46659680
-98.00,-233.83882650,8.13993356
-97.00,-232.01113892,6.15246086
-96.00,-237.52375031,6.10831023
-95.00,-235.64024892,8.94636270
-94.00,-234.76570129,7.58616632
-93.00,-235.18885803,7.76268464
-92.00,-235.83095211,7.44366413
-91.00,-231.21644423,7.25224623
-90.00,-233.18422360,6.11325223
-89.00,-235.10803477,8.54422658
-88.00,-234.94957987,8.64617598
-87.00,-232.10801103,5.97370564
-86.00,-231.91834429,7.88853194
-85.00,-233.25896793,6.67902584
-84.00,-231.75213114,9.91817811
-83.00,-233.76978472,5.93631969
-82.00,-232.29436662,6.10268864
-81.00,-231.74796719,5.34623762
-80.00,-230.10449727,8.09294856
-79.00,-231.32375251,7.21876731
-78.00,-231.14854685,7.70085624
-77.00,-229.99703386,8.53908585
-76.00,-227.69041104,7.48888207
-75.00,-224.44769541,11.31252423
-74.00,-223.32488420,7.81441501
-73.00,-220.49142202,8.34884337
-72.00,-217.92368147,9.86825662
-71.00,-210.83258989,10.32199490
-70.00,-205.14524417,7.14372213
-69.00,-199.18696849,7.27071190
-68.00,-188.30268351,5.39139337
-67.00,-179.58161079,7.34170452
-66.00,-176.16932933,8.61272707
-65.00,-159.54560683,9.39624056
-64.00,-145.48604838,4.43939050
-63.00,-131.70621660,5.90439564
-62.00,-116.39223607,6.90363384
-61.00,-101.60645718,3.28482247
-60.00,-88.25297232,3.63766013
-59.00,-77.13247935,3.26614392
-58.00,-70.76313824,2.24279446
-57.00,-65.41964385,0.99271507
-56.00,-63.11272303,1.06596521
-55.00,-60.83307457,0.38210793
-54.00,-59.60673226,0.24485853
-53.00,-58.56669405,0.11471618
-52.00,-57.63290151,0.11156096
-51.00,-56.48817274,0.10723273
-50.00,-55.51396089,0.08517249
-49.00,-54.58779865,0.08941535
-48.00,-53.63450286,0.04432762
-47.00,-52.60776075,0.04566621
-46.00,-51.65379397,0.03943844
-45.00,-50.70308304,0.03673365
-44.00,-49.71612930,0.04012924
-43.00,-48.63300638,0.03717870
-42.00,-47.64648501,0.02221339
-41.00,-46.71714126,0.02548367
-40.00,-45.73635716,0.02952130
-39.00,-44.63774448,0.02738870
-38.00,-43.68208122,0.02341354
-37.00,-42.66535886,0.01971208
-36.00,-41.71576691,0.01679978
-35.00,-40.74009514,0.01874671
-34.00,-39.76162953,0.01202613
-33.00,-38.66742685,0.00917585
-32.00,-37.71201392,0.00969716
-31.00,-36.71712049,0.00823861
-30.00,-35.75408279,0.00636700
-29.00,-34.67039426,0.00907213
-28.00,-33.70269733,0.00723113
-27.00,-32.71748150,0.00741005
-26.00,-31.75282235,0.00563609
-25.00,-30.62276607,0.00624284
-24.00,-29.66048198,0.00579417
-23.00,-28.69248581,0.00569100
-22.00,-27.72968589,0.00380517
-21.00,-26.60811636,0.00466360
-20.00,-25.64640141,0.00326078
-19.00,-24.66653728,0.00294463
-18.00,-23.70946609,0.00340165
-17.00,-22.73629220,0.00206830
-16.00,-21.78272247,0.00312148
-15.00,-20.67680211,0.00288283
-14.00,-19.73531128,0.00178580
-13.00,-18.79799928,0.00223727
-12.00,-17.86483256,0.00217904
-11.00,-16.78526052,0.00182189
-10.00,-15.86907180,0.00250997
-9.00,-14.99349758,0.00164570
-8.00,-14.09983259,0.00177508
-7.00,-13.18357054,0.00165648
-6.00,-12.32189311,0.00223458
-5.00,-11.47324069,0.00199633
-4.00,-10.66142713,0.00222874
-3.00,-9.77607626,0.00178964
-2.00,-8.60790459,0.08501534
-1.00,-8.34240384,0.03774505
0.00,-7.77346362,0.00199127
