Set_Power_dBm,Mean_Measured_Power,Std_Dev_Measured_Power
-120.00,-162.57838186,6.22517964
-119.00,-161.98318651,5.74136887
-118.00,-161.75414321,6.30896766
-117.00,-163.30826613,4.55855729
-116.00,-161.22748905,4.59251198
-115.00,-161.54646386,5.87492440
-114.00,-161.68877241,4.21100570
-113.00,-162.46986389,3.27854506
-112.00,-162.36318341,5.73867382
-111.00,-162.13019392,4.07696392
-110.00,-162.30058289,5.13297276
-109.00,-158.95686595,5.04495042
-108.00,-162.18001422,4.34095631
-107.00,-161.15629154,4.32126538
-106.00,-161.73708428,5.00415271
-105.00,-163.39640723,4.14852725
-104.00,-161.49152459,4.55698774
-103.00,-160.77710639,4.21700503
-102.00,-161.51293352,4.67431114
-101.00,-161.07459513,5.14422635
-100.00,-162.64770508,5.18069242
-99.00,-162.50513289,4.91669698
-98.00,-160.51947361,4.69889589
-97.00,-161.67997657,5.54294835
-96.00,-158.15002018,4.70687186
-95.00,-158.99752553,5.73782232
-94.00,-159.50071547,5.05608106
-93.00,-161.55905331,4.87183975
-92.00,-156.02302792,4.81258286
-91.00,-156.03218333,4.29091335
-90.00,-154.49788072,5.15184210
-89.00,-153.62514326,5.45185908
-88.00,-150.83548313,4.16100524
-87.00,-150.35628086,5.88064404
-86.00,-145.90246412,4.61239442
-85.00,-143.77717336,4.78368476
-84.00,-140.52037303,4.41510675
-83.00,-135.61292140,3.29441837
-82.00,-130.75626797,4.73349065
-81.00,-124.31700685,3.52385450
-80.00,-119.05960891,2.60878448
-79.00,-112.03090668,3.22228511
-78.00,-103.76358075,2.71781383
-77.00,-97.79447937,2.24132077
-76.00,-91.78880983,2.20646517
-75.00,-86.89837265,1.66338779
-74.00,-83.42037964,1.57232685
-73.00,-80.46766281,0.82987177
-72.00,-78.76792781,0.31147281
-71.00,-77.10558616,0.17832005
-70.00,-76.16618616,0.16811363
-69.00,-75.15121460,0.12781108
-68.00,-74.23500061,0.06516742
-67.00,-73.23760774,0.10241695
-66.00,-72.27591027,0.07978398
-65.00,-71.17634413,0.04624562
-64.00,-70.20560964,0.05247069
-63.00,-69.32999844,0.05388735
-62.00,-68.35896301,0.04374625
-61.00,-67.22725381,0.03208824
-60.00,-66.27719159,0.03718568
-59.00,-65.29702420,0.03098283
-58.00,-64.33784866,0.03037863
-57.00,-63.34794850,0.02912134
-56.00,-62.37949329,0.02139656
-55.00,-61.25322533,0.01798830
-54.00,-60.28266144,0.01606512
-53.00,-59.33928341,0.01919733
-52.00,-58.38015343,0.01067738
-51.00,-57.25081274,0.01447495
-50.00,-56.39197159,0.01448616
-49.00,-55.34395917,0.00972703
-48.00,-54.37296104,0.01159679
-47.00,-53.36493344,0.00640681
-46.00,-52.39391348,0.00635898
-45.00,-51.42033068,0.00455048
-44.00,-50.45391295,0.00635983
-43.00,-49.34624206,0.00616234
-42.00,-48.37676960,0.00501170
-41.00,-47.39972263,0.00345555
-40.00,-46.43501515,0.00343073
-39.00,-45.33970918,0.00340502
-38.00,-44.37334548,0.00355929
-37.00,-43.37562879,0.00252116
-36.00,-42.40843088,0.00304312
-35.00,-41.42435413,0.00374246
-34.00,-40.45567428,0.00248889
-33.00,-39.35708012,0.00233582
-32.00,-38.39219051,0.00180248
-31.00,-37.41102091,0.00295305
-30.00,-36.44347869,0.00179405
-29.00,-35.35795720,0.00159977
-28.00,-34.38847817,0.00233476
-27.00,-33.39702670,0.00183884
-26.00,-32.43421915,0.00108308
-25.00,-31.30679639,0.00127689
-24.00,-30.34189362,0.00147716
-23.00,-29.37541792,0.00157806
-22.00,-28.40926414,0.00237329
-21.00,-27.28644604,0.00179112
-20.00,-26.32370313,0.00123697
-19.00,-25.34257719,0.00146155
-18.00,-24.38290490,0.00105457
-17.00,-23.40216488,0.00164881
-16.00,-22.44722154,0.00146349
-15.00,-21.33645672,0.00138429
-14.00,-20.38860840,0.00174287
-13.00,-19.62931792,0.02828128
-12.00,-19.21489570,0.00896657
-11.00,-18.90600342,0.01071697
-10.00,-18.69210116,0.01380608
-9.00,-18.53025723,0.02110297
-8.00,-18.39562755,0.01353902
-7.00,-18.25148529,0.01520830
-6.00,-18.14374015,0.01315116
-5.00,-18.04061932,0.01391540
-4.00,-17.95316124,0.01417942
-3.00,-17.86784342,0.01282006
-2.00,-17.80991798,0.01181359
-1.00,-17.76258522,0.01201617
0.00,-17.72274780,0.01028651
