# Y-Factor Noise Figure Measurement Results
# SDR_TYPE: USRPSDR, ENR: 14.54 dB, Freq: 1000.0 MHz, SampRate: 2.0 MSps
SDR_Gain_dB,P_hot_dBm,P_cold_dBm,Y_Factor_dB,Noise_Figure_dB
0.0,-74.99538225,-75.01119995,0.01581770,38.91849852
10.0,-82.06389618,-82.12153938,0.05764320,33.28150906
20.0,-91.41219658,-91.60728848,0.19509189,27.91753982
30.0,-98.40532476,-99.34163020,0.93630544,20.72710734
40.0,-104.50617688,-110.14122537,5.63504850,10.29085665
50.0,-105.17011238,-112.71119089,7.54107851,7.84046034
60.0,-105.85487909,-115.61641141,9.76153232,5.26336571
70.0,-106.36145125,-116.96419675,10.60274550,4.33274326
