gain	linear_input_power_start	linear_input_power_end	linear_measured_power_start	linear_measured_power_end	r_squared	slope	offset	final_offset
0.0	-68.83708565715187	-1.218532403451617	-74.88834932	-11.66546199	0.9991995956132309	0.9824356164222372	-9.628154629626984	-9.628154629626984
10.0	-74.8034285913019	-1.218532403451617	-71.91559715	-2.990590299999999	0.9990706344460917	0.9826810534043484	-1.4412528019056623	-11.441252801905662
20.0	-82.75855250350193	-6.190484848576636	-70.9486357	-0.03717623000000003	0.9991524654424324	0.989920968077622	8.183800466801848	-11.816199533198152
30.0	-89.71928592667696	-16.134389738826673	-68.07296833	0.32939117999999823	0.9991153791593501	0.9918427316373816	18.342855923498618	-11.657144076501382
40.0	-99.663190816927	-25.08390414005171	-69.43826082	-0.015586450000000696	0.9990767821149454	0.989816944603464	26.25655413331637	-13.74344586668363
50.0	-100.65758130595201	-35.027809030301746	-61.181958249999994	-0.04573546999999678	0.9990377464424726	0.9910628287734913	36.183618153150476	-13.816381846849524
60.0	-99.663190816927	-69.83147614617688	-51.48362693999999	-22.49591599	0.9990410941599804	0.9828676538022634	45.866127533398064	-14.133872466601936
70.0								
