Set_Power_dBm,Mean_Measured_Power,Std_Dev_Measured_Power
-120.00,-55.60959424,0.06063273
-119.00,-55.47452248,0.05645808
-118.00,-55.47952953,0.05551594
-117.00,-55.48702039,0.04848237
-116.00,-55.50098419,0.04371827
-115.00,-55.47367377,0.04539875
-114.00,-55.47411823,0.06270745
-113.00,-55.45874405,0.07041569
-112.00,-55.49628308,0.02962286
-111.00,-55.46984122,0.05975298
-110.00,-55.46933598,0.06579807
-109.00,-55.46780459,0.04550329
-108.00,-55.50278325,0.05409598
-107.00,-55.47521390,0.05937364
-106.00,-55.47344870,0.04121631
-105.00,-55.48925915,0.06604560
-104.00,-55.49687637,0.06095961
-103.00,-55.45384827,0.04013458
-102.00,-55.47460499,0.05430105
-101.00,-55.45178089,0.05172994
-100.00,-55.44773140,0.04678643
-99.00,-55.44189955,0.03790946
-98.00,-55.47705097,0.05703896
-97.00,-55.42214263,0.05232090
-96.00,-55.43721256,0.05158547
-95.00,-55.42116489,0.05273968
-94.00,-55.39398384,0.05614819
-93.00,-55.39899625,0.04806734
-92.00,-55.36096821,0.06058310
-91.00,-55.33422718,0.04995697
-90.00,-55.24805430,0.07004515
-89.00,-55.23100586,0.07635826
-88.00,-55.18998756,0.06908788
-87.00,-55.11013451,0.05591242
-86.00,-55.01505942,0.05538510
-85.00,-54.86453629,0.07346354
-84.00,-54.67830658,0.08413122
-83.00,-54.44972568,0.08220949
-82.00,-54.20199184,0.09957266
-81.00,-53.73973967,0.10498729
-80.00,-53.25741898,0.09583256
-79.00,-52.63083534,0.11955979
-78.00,-51.98049927,0.12611788
-77.00,-51.11357269,0.09555627
-76.00,-50.13843021,0.09617689
-75.00,-49.05664605,0.10563903
-74.00,-48.10857251,0.09488160
-73.00,-47.22167606,0.08096582
-72.00,-46.25541072,0.07116651
-71.00,-45.08020573,0.04354197
-70.00,-44.10415058,0.04033704
-69.00,-43.17625618,0.04525517
-68.00,-42.18559011,0.05174546
-67.00,-41.21115665,0.04041752
-66.00,-40.25620136,0.03047484
-65.00,-39.08467202,0.03810037
-64.00,-38.11180382,0.01890875
-63.00,-37.22745273,0.02741789
-62.00,-36.25719537,0.02793516
-61.00,-35.09815407,0.02079156
-60.00,-34.12702582,0.02145732
-59.00,-33.16252094,0.01300026
-58.00,-32.19653532,0.01220789
-57.00,-31.22588751,0.01333015
-56.00,-30.25772743,0.01230379
-55.00,-29.10321065,0.00901660
-54.00,-28.13745661,0.00721524
-53.00,-27.22083311,0.00776356
-52.00,-26.25422699,0.00798166
-51.00,-25.09710344,0.00505745
-50.00,-24.12816801,0.00682887
-49.00,-23.16927348,0.00606275
-48.00,-22.20154230,0.00537128
-47.00,-21.20176803,0.00428489
-46.00,-20.23204221,0.00407538
-45.00,-19.29462454,0.00408246
-44.00,-18.33068392,0.00371896
-43.00,-17.18509176,0.00353259
-42.00,-16.21920681,0.00312213
-41.00,-15.28759349,0.00265481
-40.00,-14.31445604,0.00515141
-39.00,-13.17945438,0.00279037
-38.00,-12.21152014,0.00253852
-37.00,-11.22753615,0.00238425
-36.00,-10.26185603,0.00313583
-35.00,-9.56611586,0.00152508
-34.00,-9.16314823,0.00232601
-33.00,-8.91757724,0.00299984
-32.00,-8.82637180,0.00350309
-31.00,-8.77020735,0.00415475
-30.00,-8.72711909,0.00384587
-29.00,-8.69270478,0.00414768
-28.00,-8.67042780,0.00389363
-27.00,-8.65380859,0.00422257
-26.00,-8.64148585,0.00417423
-25.00,-8.63037019,0.00418428
-24.00,-8.62142859,0.00459704
-23.00,-8.61340399,0.00448310
-22.00,-8.60768461,0.00414121
-21.00,-8.59996645,0.00370345
-20.00,-8.59488337,0.00383719
-19.00,-8.58862109,0.00293183
-18.00,-8.58638794,0.00361008
-17.00,-8.58591244,0.00426542
-16.00,-8.58297915,0.00352313
-15.00,-8.57939143,0.00398088
-14.00,-8.57599258,0.00421112
-13.00,-8.57346821,0.00362034
-12.00,-8.57209047,0.00314628
-11.00,-8.57183038,0.00332617
-10.00,-8.57086701,0.00416601
-9.00,-8.57086696,0.00424575
-8.00,-8.57093080,0.00433174
-7.00,-8.56990756,0.00533042
-6.00,-8.56838343,0.00344267
-5.00,-8.56989506,0.00406836
-4.00,-8.56901630,0.00408293
-3.00,-8.56956795,0.00396032
-2.00,-8.56785440,0.00330830
-1.00,-8.57007959,0.00283844
0.00,-8.56973044,0.00408754
