gain	linear_input_power_start	linear_input_power_end	linear_measured_power_start	linear_measured_power_end	r_squared	slope	offset	final_offset
0.0	-64.0	-15.0	-44.52883954	0.92708371	0.9990292377911538	0.9802811548528211	16.14325491448643	16.14325491448643
10.0	-82.0	-33.0	-44.20199184	1.08242276	0.9992826954190311	0.9797043230703479	34.68556220854501	24.685562208545008
20.0	-90.0	-41.0	-43.59343868	1.1131333199999993	0.9990691976851757	0.9763177138689073	42.67598160201344	22.675981602013437
30.0	-98.0	-52.0	-41.475789809999995	0.9677541500000011	0.9991438792075851	0.9738808740992136	52.418737024675075	22.418737024675075
40.0	-101.0	-58.0	-39.04713081	0.8208645699999977	0.9990885448441824	0.9723431297723746	57.64287183894923	17.642871838949233
