Set_Power_dBm,Mean_Measured_Power,Std_Dev_Measured_Power
-120.00,-82.45308007,0.12224715
-119.00,-81.83657879,0.22769963
-118.00,-81.69225191,0.15062719
-117.00,-81.68658914,0.11857622
-116.00,-81.68438043,0.16349652
-115.00,-81.65577359,0.15172674
-114.00,-81.60152393,0.13337386
-113.00,-81.57653258,0.11801295
-112.00,-81.53123177,0.17089130
-111.00,-81.55474430,0.17079685
-110.00,-81.39623981,0.11556440
-109.00,-81.22602754,0.15657687
-108.00,-81.09177695,0.12319383
-107.00,-81.02926466,0.16215397
-106.00,-80.76776377,0.14047663
-105.00,-80.64804077,0.13828614
-104.00,-80.20073403,0.12167940
-103.00,-80.06502937,0.19257219
-102.00,-79.57196257,0.12984913
-101.00,-79.04713081,0.12633136
-100.00,-78.51573775,0.13627756
-99.00,-78.04444571,0.14146945
-98.00,-77.43486362,0.15753553
-97.00,-76.72554949,0.18096156
-96.00,-75.88580233,0.12843026
-95.00,-74.93859567,0.09246652
-94.00,-73.97998328,0.09926908
-93.00,-73.17617967,0.09713030
-92.00,-72.18644955,0.07859362
-91.00,-71.09318415,0.07999620
-90.00,-70.12159814,0.06189268
-89.00,-69.27903324,0.05243188
-88.00,-68.28884337,0.04739653
-87.00,-67.32142173,0.04228351
-86.00,-66.39133792,0.03948674
-85.00,-65.22133340,0.02431545
-84.00,-64.27721320,0.03664403
-83.00,-63.34054587,0.03098864
-82.00,-62.37556563,0.02225692
-81.00,-61.25893995,0.01923853
-80.00,-60.29655435,0.03243190
-79.00,-59.31205368,0.02125649
-78.00,-58.34409481,0.01571047
-77.00,-57.35765726,0.01410600
-76.00,-56.38946427,0.01249812
-75.00,-55.26666111,0.01112550
-74.00,-54.30311500,0.00872133
-73.00,-53.35370883,0.00953953
-72.00,-52.39062267,0.00693154
-71.00,-51.26859601,0.00947937
-70.00,-50.30622906,0.00654937
-69.00,-49.34324893,0.00794467
-68.00,-48.37650808,0.00734272
-67.00,-47.42106480,0.00766541
-66.00,-46.45524640,0.00565091
-65.00,-45.27091259,0.00465106
-64.00,-44.30430794,0.00409904
-63.00,-43.44269201,0.00411499
-62.00,-42.47738393,0.00330614
-61.00,-41.29412990,0.00365295
-60.00,-40.32477166,0.00266150
-59.00,-39.58799383,0.00204805
-58.00,-39.17913543,0.00324073
-57.00,-38.95339055,0.00398500
-56.00,-38.84682062,0.00500308
-55.00,-38.76965014,0.00537401
-54.00,-38.72450744,0.00426708
-53.00,-38.69626533,0.00472420
-52.00,-38.67433654,0.00643960
-51.00,-38.65242979,0.00514236
-50.00,-38.64117665,0.00530731
-49.00,-38.63262076,0.00594591
-48.00,-38.62334082,0.00563963
-47.00,-38.61417177,0.00454736
-46.00,-38.60759332,0.00622693
-45.00,-38.60309431,0.00506676
-44.00,-38.59663158,0.00487894
-43.00,-38.59136751,0.00490875
-42.00,-38.58964390,0.00422320
-41.00,-38.58742905,0.00390336
-40.00,-38.58420393,0.00538594
-39.00,-38.58353594,0.00333839
-38.00,-38.57493634,0.00428006
-37.00,-38.57335938,0.00450439
-36.00,-38.57259907,0.00522800
-35.00,-38.57136493,0.00448878
-34.00,-38.56909380,0.00525147
-33.00,-38.57063249,0.00476936
-32.00,-38.57005246,0.00416031
-31.00,-38.56899601,0.00415773
-30.00,-38.56990284,0.00403320
-29.00,-38.57134045,0.00528461
-28.00,-38.56777509,0.00450301
-27.00,-38.56878408,0.00404555
-26.00,-38.56873502,0.00377059
-25.00,-38.56742287,0.00415624
-24.00,-38.57101271,0.00361986
-23.00,-38.57045873,0.00415632
-22.00,-38.56956524,0.00453061
-21.00,-38.56924735,0.00434927
-20.00,-38.56980133,0.00502991
-19.00,-38.56848865,0.00464489
-18.00,-38.56830491,0.00424807
-17.00,-38.56801754,0.00420367
-16.00,-38.56867578,0.00472061
-15.00,-38.56880167,0.00380198
-14.00,-38.56887638,0.00400545
-13.00,-38.56854926,0.00340141
-12.00,-38.56857491,0.00464563
-11.00,-38.57019721,0.00468518
-10.00,-38.56979031,0.00366301
-9.00,-38.56866858,0.00413572
-8.00,-38.56934314,0.00479714
-7.00,-38.56899601,0.00433342
-6.00,-38.56848696,0.00387007
-5.00,-38.57078595,0.00470628
-4.00,-38.56890615,0.00478725
-3.00,-38.56943215,0.00433418
-2.00,-38.56847911,0.00571324
-1.00,-38.57091459,0.00413676
0.00,-38.56939273,0.00411773
